doi|title|authors|author_corresponding|author_corresponding_institution|date|version|type|license|category|jatsxml|abstract|published|server
10.1101/180174|Climate change will lead to pronounced shifts in the diversity of soil microbial communities|Ladau, J.; Shi, Y.; Jing, X.; He, J.-S.; Chen, L.; Lin, X.; Fierer, N.; Gilbert, J. A.; Pollard, K. S.; Chu, H.|Katherine S. Pollard|Gladstone Institutes, University of California San Francisco|2017-09-01|1|new results|cc_by_nc_nd|ecology|https://www.biorxiv.org/content/early/2017/09/01/180174.source.xml|Soil bacteria are key to ecosystem function and maintenance of soil fertility. Leveraging associations of current geographic distributions of bacteria with historic climate, we predict that soil bacterial diversity will increase across the majority (~75%) of the Tibetan Plateau and northern North America if bacterial communities equilibrate with existing climatic conditions. This prediction is possible because the current distributions of soil bacteria have stronger correlations with climate from ~50 years ago than with current climate. This lag is likely associated with the time it takes for soil properties to adjust to changes in climate. The predicted changes are location specific and differ across bacterial taxa, including some bacteria that are predicted to have reductions in their distributions. These findings demonstrate the widespread influence that climate change will have on belowground diversity and highlight the importance of considering bacterial communities when assessing climate impacts on terrestrial ecosystems.\n\nIMPORTANCEThere have been many studies highlighting how plant and animal communities lag behind climate change, causing extinction and diversity debts that will slowly be paid as communities equilibrate. By virtue of their short generation times and dispersal abilities, soil bacteria might be expected to respond to climate change quickly and to be effectively in equilibrium with current climatic conditions. We found strong evidence to the contrary in Tibet and North America. These findings could significantly improve understanding of climate impacts on soil microbial communities.|NA|biorxiv
10.1101/183251|Functional redundancy of variant and canonical histone H3 lysine 9 modification in Drosophila|Penke, T. J. R.; McKay, D. J.; Strahl, B. D.; Matera, A. G.; Duronio, R. J.|Robert J. Duronio|University of North Carolina at Chapel Hill|2017-09-01|1|new results|cc_no|genetics|https://www.biorxiv.org/content/early/2017/09/01/183251.source.xml|"Histone post-translational modifications (PTMs) and differential incorporation of variant and canonical histones into chromatin are central modes of epigenetic regulation. Despite similar protein sequences, histone variants are enriched for different suites of PTMs compared to their canonical counterparts. For example, variant histone H3.3 occurs primarily in transcribed regions and is enriched for \""active\"" histone PTMs like Lys9 acetylation (H3.3K9ac), whereas the canonical histone H3 is enriched for Lys9 methylation (H3K9me), which is found in transcriptionally silent heterochromatin. To determine the functions of K9 modification on variant versus canonical H3, we compared the phenotypes caused by engineering H3.3K9R and H3K9R mutant genotypes in Drosophila melanogaster. Whereas most H3.3K9R and a small number of H3K9R mutant animals are capable of completing development and do not have substantially altered protein coding transcriptomes, all H3.3K9R H3K9R combined mutants die soon after embryogenesis and display decreased expression of genes enriched for K9ac. These data suggest that the role of K9ac in gene activation during development can be provided by either H3 or H3.3. Conversely, we found that H3.3K9 is methylated at telomeric transposons, and this mark contributes to repressive chromatin architecture, supporting a role for H3.3 in heterochromatin that is distinct from that of H3. Thus, our genetic and molecular analyses demonstrate that K9 modification of variant and canonical H3 have overlapping roles in development and transcriptional regulation, though to differing extents in euchromatin and heterochromatin."|10.1534/genetics.117.300480|biorxiv
10.1101/183657|Nutrient stoichiometry shapes microbial coevolution|Larsen, M. L.; Wilhelm, S. W.; Lennon, J. T.|Jay T. Lennon|Indiana University|2017-09-01|1|new results|cc_no|microbiology|https://www.biorxiv.org/content/early/2017/09/01/183657.source.xml|Coevolution is a force contributing to the generation and maintenance of biodiversity. It is influenced by environmental conditions including the scarcity of essential resources, which can drive the evolution of defense and virulence traits. We conducted a long-term chemostat experiment where the marine cyanobacterium Synechococcus was challenged with a lytic phage under nitrogen (N) or phosphorus (P) limitation. This manipulation of nutrient stoichiometry altered the stability of host-parasite interactions and the underlying mode of coevolution. By assessing infectivity with >18,000 pairwise challenges, we documented directional selection for increased phage resistance, consistent with arms-race dynamics while phage infectivity fluctuated through time, as expected when coevolution is driven by negative frequency-dependent selection. The resulting infection networks were 50 % less modular under N-versus P-limitation reflecting host-range contraction and asymmetric coevolutionary trajectories. Nutrient stoichiometry affects eco-evolutionary feedbacks in ways that may alter the dynamics and functioning of environmental and host-associated microbial communities.|10.1111/ele.13252|biorxiv
10.1101/183657|Nutrient stoichiometry shapes microbial coevolution|Larsen, M. L.; Wilhelm, S. W.; Lennon, J. T.|Jay T. Lennon|Indiana University|2017-09-05|2|new results|cc_no|microbiology|https://www.biorxiv.org/content/early/2017/09/05/183657.source.xml|Coevolution is a force contributing to the generation and maintenance of biodiversity. It is influenced by environmental conditions including the scarcity of essential resources, which can drive the evolution of defense and virulence traits. We conducted a long-term chemostat experiment where the marine cyanobacterium Synechococcus was challenged with a lytic phage under nitrogen (N) or phosphorus (P) limitation. This manipulation of nutrient stoichiometry altered the stability of host-parasite interactions and the underlying mode of coevolution. By assessing infectivity with >18,000 pairwise challenges, we documented directional selection for increased phage resistance, consistent with arms-race dynamics while phage infectivity fluctuated through time, as expected when coevolution is driven by negative frequency-dependent selection. The resulting infection networks were 50 % less modular under N-versus P-limitation reflecting host-range contraction and asymmetric coevolutionary trajectories. Nutrient stoichiometry affects eco-evolutionary feedbacks in ways that may alter the dynamics and functioning of environmental and host-associated microbial communities.|10.1111/ele.13252|biorxiv
10.1101/183665|Electrophysiological indices reflect switches between Bayesian and heuristic strategies in perceptual learning|Bennett, D.; Sasmita, K.; Murawski, C.; Bode, S.|Daniel  Bennett|Princeton University|2017-09-01|1|new results|cc_by_nc_nd|neuroscience|https://www.biorxiv.org/content/early/2017/09/01/183665.source.xml|Belief updating entails the incorporation of new information about the environment into internal models of the world. Bayesian inference is the statistically optimal strategy for performing belief updating in the presence of uncertainty. An important open question is whether the use of cognitive strategies that implement Bayesian inference is dependent upon motivational state and, if so, how this is reflected in electrophysiological signatures of belief updating in the brain. Here we recorded the electroencephalogram of participants performing a simple reward learning task with both monetary and non-monetary instructive feedback conditions. Our aim was to distinguish the influence of the rewarding properties of feedback on belief updating from the information content of the feedback itself. A Bayesian updating model allowed us to quantify different aspects of belief updating across trials, including the size of belief updates and the uncertainty of beliefs. Faster learning rates were observed in the monetary feedback condition compared to the instructive feedback condition, while belief updates were generally larger, and belief uncertainty smaller, with monetary compared to instructive feedback. Larger amplitudes in the monetary feedback condition were found for three event-related potential components: the P3a, the feedback-related negativity (FRN) and the late positive potential (LPP). These findings suggest that motivational state influences inference strategies in reward learning, and this is reflected in the electrophysiological correlates of belief updating.|10.1111/psyp.13431|biorxiv
10.1101/183798|Tracking dynamic threat imminence|Meyer, C. T.; Padmala, S.; Pessoa, L.|Luiz  Pessoa|University of Maryland|2017-09-01|1|new results|cc_by_nc_nd|neuroscience|https://www.biorxiv.org/content/early/2017/09/01/183798.source.xml|During real-life situations, multiple factors interact dynamically to determine threat level. In the current functional MRI study involving healthy adult human volunteers, we investigated interactions between proximity, direction (approach vs. retreat), and speed during a dynamic threat-of-shock paradigm. As a measure of threat-evoked physiological arousal, skin conductance responses were recorded during fMRI scanning. Whereas some brain regions tracked individual threat-related factors, others were also sensitive to combinations of these variables. In particular, signals in the anterior insula tracked the interaction between proximity and direction where approach vs. retreat responses were stronger when threat was closer compared to farther. A parallel proximity-by-direction interaction was also observed in physiological skin conductance responses. In the right amygdala, we observed a proximity by direction interaction, but intriguingly in the opposite direction as the anterior insula; retreat vs. approach responses were stronger when threat was closer compared to farther. In the right bed nucleus of the stria terminalis, we observed an effect of threat proximity, whereas in the right periaqueductal gray/midbrain we observed an effect of threat direction and a proximity by direction by speed interaction (the latter was detected in exploratory analyses but not in a voxelwise fashion). Together, our study refines our understanding of the brain mechanisms involved during aversive anticipation in the human brain. Importantly, it emphasizes that threat processing should be understood in a manner that is both context sensitive and dynamic.|10.1162/jocn_a_01363|biorxiv
10.1101/183632|Clustering and compositionality of task representations in a neural network trained to perform many cognitive tasks|Yang, G. R.; Song, H. F.; Newsome, W. T.; Wang, X.-J.|Xiao-Jing  Wang|New York University|2017-09-01|1|new results|cc_by_nc_nd|neuroscience|https://www.biorxiv.org/content/early/2017/09/01/183632.source.xml|A neural system has the ability to flexibly perform many tasks, but the underlying mechanism cannot be elucidated in traditional experimental and modeling studies designed for one task at a time. Here, we trained a single network model to perform 20 cognitive tasks that may involve working memory, decision-making, categorization and inhibitory control. We found that after training, recurrent units developed into clusters that are functionally specialized for various cognitive processes. We introduce a measure to quantify relationships between single-unit neural representations of tasks, and report five distinct types of such relationships that can be tested experimentally. Surprisingly, our network developed compositionality of task representations, a critical feature for cognitive flexibility, whereby one task can be performed by recombining instructions for other tasks. Finally, we demonstrate how the network could learn multiple tasks sequentially. This work provides a computational platform to investigate neural representations of many cognitive tasks.|NA|biorxiv
10.1101/183285|Ldb1 and Rnf12-dependent regulation of Lhx2 controls the relative balance between neurogenesis and gliogenesis in retina.|de Melo, J.; Venkataraman, A.; Zibetti, C.; Clark, B. S.; Blackshaw, S.|Seth  Blackshaw|Johns Hopkins University School of Medicine|2017-09-01|1|new results|cc_no|neuroscience|https://www.biorxiv.org/content/early/2017/09/01/183285.source.xml|Precise control of the relative ratio of retinal neurons and glia generated during development is essential for visual function. We show that Lhx2, which encodes a LIM-homeodomain transcription factor essential for specification and differentiation of retinal Muller glia, also plays a critical role in the development of retinal neurons. Overexpression of Lhx2, and its transcriptional coactivator Ldb1, triggers cell cycle exit and inhibits both Notch signaling and retinal gliogenesis. Lhx2/Ldb1 overexpression also induced the formation of wide-field amacrine cells (wfACs). In contrast Rnf12, which encodes a negative regulator of LDB1, is necessary for the initiation of retinal gliogenesis. We also show that LHX2 protein binds upstream of multiple neurogenic bHLH factors including Ascl1 and Neurog2, which are necessary for suppression of gliogenesis and wfAC formation respectively, and activates their expression. Finally, we demonstrate that the relative level of the LHX2-LDB1 complex in the retina decreases in tandem with the onset of gliogenesis. These findings show that control of Lhx2 function by Ldb1 and Rnf12 acts as a molecular mechanism underpinning the coordinated differentiation of neurons and Muller glia in postnatal retina.\n\nSignificance StatementThe molecular mechanisms that control the ratio neurons and glia that are generated by neuronal progenitors remain unclear. Here we show that Lhx2, a transcription factor essential for retinal gliogenesis, also controls development of retinal neurons. The Lhx2 coactivator Ldb1 promotes Lhx2-dependent neurogenesis, while the Lhx2 corepressor Rnf12 is necessary and sufficient for retinal gliogenesis. Furthermore, Lhx2 directly regulates expression of bHLH factors that promote neural development, which are necessary for Lhx2-dependent neurogenesis. Finally, we show that levels of the LHX2-LDB1 complex, which activates transcription, drop as gliogenesis begins. Dynamic regulation of Lhx2 activity by Ldb1 and Rnf12 thus controls the relative levels of retinal neurogenesis and gliogenesis, and may have similar functions elsewhere in the developing nervous system.|10.1242/dev.159970|biorxiv
10.1101/183285|Ldb1 and Rnf12-dependent regulation of Lhx2 controls the relative balance between neurogenesis and gliogenesis in retina.|de Melo, J.; Venkataraman, A.; Zibetti, C.; Clark, B. S.; Blackshaw, S.|Seth  Blackshaw|Johns Hopkins University School of Medicine|2017-09-04|2|new results|cc_no|neuroscience|https://www.biorxiv.org/content/early/2017/09/04/183285.source.xml|Precise control of the relative ratio of retinal neurons and glia generated during development is essential for visual function. We show that Lhx2, which encodes a LIM-homeodomain transcription factor essential for specification and differentiation of retinal Muller glia, also plays a critical role in the development of retinal neurons. Overexpression of Lhx2, and its transcriptional coactivator Ldb1, triggers cell cycle exit and inhibits both Notch signaling and retinal gliogenesis. Lhx2/Ldb1 overexpression also induced the formation of wide-field amacrine cells (wfACs). In contrast Rnf12, which encodes a negative regulator of LDB1, is necessary for the initiation of retinal gliogenesis. We also show that LHX2 protein binds upstream of multiple neurogenic bHLH factors including Ascl1 and Neurog2, which are necessary for suppression of gliogenesis and wfAC formation respectively, and activates their expression. Finally, we demonstrate that the relative level of the LHX2-LDB1 complex in the retina decreases in tandem with the onset of gliogenesis. These findings show that control of Lhx2 function by Ldb1 and Rnf12 acts as a molecular mechanism underpinning the coordinated differentiation of neurons and Muller glia in postnatal retina.\n\nSignificance StatementThe molecular mechanisms that control the ratio neurons and glia that are generated by neuronal progenitors remain unclear. Here we show that Lhx2, a transcription factor essential for retinal gliogenesis, also controls development of retinal neurons. The Lhx2 coactivator Ldb1 promotes Lhx2-dependent neurogenesis, while the Lhx2 corepressor Rnf12 is necessary and sufficient for retinal gliogenesis. Furthermore, Lhx2 directly regulates expression of bHLH factors that promote neural development, which are necessary for Lhx2-dependent neurogenesis. Finally, we show that levels of the LHX2-LDB1 complex, which activates transcription, drop as gliogenesis begins. Dynamic regulation of Lhx2 activity by Ldb1 and Rnf12 thus controls the relative levels of retinal neurogenesis and gliogenesis, and may have similar functions elsewhere in the developing nervous system.|10.1242/dev.159970|biorxiv
10.1101/183509|Evidence of sinks and sources in the PLC activated PIP2 cycle|Suratekar, R.; Raghu, P.; Krishna, S.|Sandeep  Krishna|National Centre for Biological Sciences|2017-09-01|1|new results|cc_by_nc_nd|biophysics|https://www.biorxiv.org/content/early/2017/09/01/183509.source.xml|In many eukaryotic signalling cascades, receptor mediated phospholipase C (PLC) activity triggers phosphatidylinositol 4,5 bisphosphate (PIP2) hydrolysis leading to information transfer in cells. Coupled with PLC activation is a sequence of reactions spread across multiple compartments by which PIP2 is resynthesized, a process essential to maintain PIP2 levels and support sustained PLC signalling. The biochemical strategies to co-ordinate these reactions and support PIP2 levels have remained poorly understood. In particular, the question of whether the PIP2 cycle is a closed cycle with no net addition or loss of metabolites has not been addressed. Using mathematical modelling approaches, we find that a closed PIP2 cycle cannot explain experimentally observed changes in the metabolic intermediates when changing enzyme activities in the PIP2 cycle. Thus, we propose that the PIP2 cycle likely includes at least one metabolic source and one sink whose net activity results in the experimentally observed regulation of this key signalling pathway.|10.1002/1873-3468.12998|biorxiv
